x: 0.81  v(LU): 0.000025    v(Gaussian): 0.207464    log:-1.02942
x: 0.82  v(LU): 0.000022    v(Gaussian): 0.19656    log:-1.02946
x: 0.83  v(LU): 0.000020    v(Gaussian): 0.185653    log:-1.02949
x: 0.84  v(LU): 0.000018    v(Gaussian): 0.174744    log:-1.02952
x: 0.85  v(LU): 0.000016    v(Gaussian): 0.163833    log:-1.02955
x: 0.86  v(LU): 0.000014    v(Gaussian): 0.15292    log:-1.02958
x: 0.87  v(LU): 0.000012    v(Gaussian): 0.142004    log:-1.02961
x: 0.88  v(LU): 0.000010    v(Gaussian): 0.131087    log:-1.02963
x: 0.89  v(LU): 0.000009    v(Gaussian): 0.120169    log:-1.02965
x: 0.9  v(LU): 0.000008    v(Gaussian): 0.109249    log:-1.02967
x: 0.91  v(LU): 0.000007    v(Gaussian): 0.0983283    log:-1.02969
x: 0.92  v(LU): 0.000006    v(Gaussian): 0.0874062    log:-1.02971
x: 0.93  v(LU): 0.000005    v(Gaussian): 0.0764831    log:-1.02973
x: 0.94  v(LU): 0.000004    v(Gaussian): 0.065559    log:-1.02974
x: 0.95  v(LU): 0.000003    v(Gaussian): 0.0546342    log:-1.02976
x: 0.96  v(LU): 0.000002    v(Gaussian): 0.0437086    log:-1.02977
x: 0.97  v(LU): 0.000002    v(Gaussian): 0.0327823    log:-1.02978
x: 0.98  v(LU): 0.000001    v(Gaussian): 0.0218554    log:-1.0298

